FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,28/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","790,40","95,2","95,3",00096,"1,006",9500,0,36,9,50,24,10,20,3,1,1,0,0,0,110,0,0,0
05,003,050403,OPEN END III                  ,28/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","794,80","95,8","96,2",00096,"1,006",9500,0,23,7,22,18,10,8,12,2,7,0,0,0,97,0,0,0
05,003,050403,OPEN END III                  ,28/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","778,80","93,8","93,9",00096,"1,006",9500,1,47,10,39,21,7,21,8,3,24,0,0,0,103,0,0,0
05,003,050403,OPEN END III                  ,28/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","798,30","96,2","96,7",00096,"1,006",9500,1,55,12,47,37,18,28,15,2,9,0,0,0,136,0,0,0
05,003,050403,OPEN END III                  ,28/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","795,60","95,9","95,9",00096,"1,006",9500,1,28,4,23,16,9,16,1,3,2,0,0,0,82,0,0,0
05,003,050403,OPEN END III                  ,28/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","800,20","96,4","96,9",00096,"1,006",9500,1,56,6,27,25,13,12,28,4,26,0,0,0,124,0,0,0
05,003,050403,OPEN END III                  ,29/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","780,40","94,0","94,1",00096,"1,006",9500,2,31,8,52,19,14,27,5,2,9,0,0,0,110,0,0,0
05,003,050403,OPEN END III                  ,29/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","789,50","95,1","95,6",00096,"1,006",9500,1,39,6,37,16,12,12,11,2,9,1,0,0,89,0,0,0
05,003,050403,OPEN END III                  ,29/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","783,40","94,4","94,5",00096,"1,006",9500,0,13,9,42,15,10,19,4,1,0,1,0,0,71,0,0,0
05,003,050403,OPEN END III                  ,29/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000106,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","799,40","96,3","96,8",00096,"1,006",9500,3,56,4,36,31,8,18,19,3,13,0,0,0,149,0,0,0
