FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542212,011,70195709,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,011,70195709,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,012,70195710,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542212,013,70195711,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,382,TRAMA CURTA,4,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,382,TRAMA CURTA,4,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,013,70195711,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,382,TRAMA CURTA,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,014,70195712,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,015,70195713,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,015,70195713,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,015,70195713,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,015,70195713,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,015,70195713,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
